Activity,Sectors,DistinctProjects
 Business incubation services,"Industry, Trade & Services",1
 Business mentoring,"Industry, Trade & Services",1
 Business plan competition,Transportation,1
 Business plan development,"Water, Sanitation & Waste Management",1
 Business plan support,"Industry, Trade & Services",1
 Business planning support,"Industry, Trade & Services",1
 Business registration digitization,Public Administration,1
 Business regulation reform,Public Administration,1
 Business skills training,"Industry, Trade & Services",1
 Business startup support,Public Administration,1
 Business support,Education,1
 Business support programs,Public Administration,1
 Business training,Financial Sector,1
 Cadastre updating,Public Administration,1
 Call center setup,Public Administration,1
 Call geolocation,Public Administration,1
 Canal dredging,"Agriculture, Fishing & Forestry",1
 Canal improvement,"Water, Sanitation & Waste Management",1
 Canal modernization,"Agriculture, Fishing & Forestry",1
 Cancer screening,Health,1
 Cancer screening services,Health,1
 Capacity building,Social Protection,1
 Capacity building,"Water, Sanitation & Waste Management",1
 Capital expenditure planning,Public Administration,1
 Capital investment planning,Public Administration,1
 Capital market development,Financial Sector,1
 Capital mobilization,"Water, Sanitation & Waste Management",1
 Carbon assessment,"Agriculture, Fishing & Forestry",1
 Carbon credit generation,Transportation,1
 Carbon market development,"Water, Sanitation & Waste Management",1
 Carbon potential assessment,"Agriculture, Fishing & Forestry",1
 Career counseling,Social Protection,1
 Career placement support,Education,1
 Case investigation,Health,1
 Case management,Health,1
 Case management support,Health,1
 Case management system,Social Protection,1
 Case surveillance,Health,1
 Cash compensation,"Industry, Trade & Services",1
 Cash forecasting improvement,Public Administration,1
 Cash transfer delivery,Social Protection,1
 Cash transfer expansion,Public Administration,1
 Cash transfer payments,Public Administration,1
 Cash transfers,Social Protection,1
 Cash-plus services,Social Protection,1
 Catchment area treatment,Energy & Extractives,1
 Center accreditation,Education,1
 Certificate fee reduction,Public Administration,1
 Certification programs,Education,2
 Certification support,"Agriculture, Fishing & Forestry",1
 Certification system establishment,Social Protection,1
 Challenge fund management,"Industry, Trade & Services",1
 Change management planning,Education,1
 Chart of accounts reform,Public Administration,1
 Child growth monitoring,Social Protection,1
 Chronic care management,Health,1
 Chronic disease management,Health,1
 Circular economy support,"Water, Sanitation & Waste Management",1
 Citizen consultations,Transportation,1
 Citizen engagement,Financial Sector,1
 Citizen engagement,"Water, Sanitation & Waste Management",1
 Citizen feedback,Health,1
 Citizen feedback hotlines,Health,1
 Citizen feedback mechanisms,Transportation,1
 Citizen feedback reporting,Public Administration,1
 Citizen feedback systems,Health,1
 Citizen feedback systems,Public Administration,1
 Citizen portal rollout,Public Administration,1
 Citizen web portal deployment,Health,1
 Civil registration expansion,Public Administration,1
 Civil registration improvement,Social Protection,1
 Civil service HR reform,Health,1
 Claims processing improvement,Health,1
 Classroom ICT installation,Education,1
 Classroom improvements,Education,1
 Clean energy training,Energy & Extractives,1
 Clean heating installation,Energy & Extractives,1
 Clean production certification,Energy & Extractives,1
 Client satisfaction monitoring,Financial Sector,1
 Climate adaptation planning,Transportation,1
 Climate adaptation training,Social Protection,1
 Climate adaptation upgrades,Health,1
 Climate budget allocation,"Water, Sanitation & Waste Management",1
 Climate budgeting,Public Administration,1
 Climate budgeting integration,"Water, Sanitation & Waste Management",1
 Climate finance mobilization,"Water, Sanitation & Waste Management",1
 Climate finance support,Financial Sector,1
 Climate information services,"Agriculture, Fishing & Forestry",1
 Climate integration,Social Protection,1
 Climate investment financing,Financial Sector,1
 Climate mainstreaming,Transportation,1
 Climate monitoring systems,"Agriculture, Fishing & Forestry",1
 Climate reporting adoption,Public Administration,1
 Climate resilience,"Water, Sanitation & Waste Management",1
 Climate resilience audits,Transportation,1
 Climate resilience integration,Transportation,1
 Climate resilience measures,Public Administration,1
 Climate resilience measures,Transportation,1
 Climate resilience planning,Energy & Extractives,1
 Climate resilience policies,"Water, Sanitation & Waste Management",1
 Climate resilience support,"Industry, Trade & Services",1
 Climate resilience upgrades,Transportation,1
 Climate risk management,Transportation,1
 Climate risk mitigation,Transportation,1
 Climate screening implementation,Public Administration,1
 Climate screening policy,Public Administration,1
 Climate-focused funding,"Industry, Trade & Services",1
 Climate-resilient design,Transportation,1
 Climate-resilient infrastructure,Information & Communications Technologies,1
 Climate-resilient infrastructure,Social Protection,1
 Climate-resilient planning,Public Administration,1
 Climate-resilient road construction,Transportation,1
 Climate-resilient upgrades,Education,1
 Climate-smart agriculture,"Industry, Trade & Services",1
 Climate-smart agriculture,Public Administration,1
 Climate-smart agriculture adoption,"Agriculture, Fishing & Forestry",1
 Climate-smart agriculture adoption,"Industry, Trade & Services",1
 Climate-smart agriculture promotion,"Industry, Trade & Services",1
 Climate-smart investments,"Industry, Trade & Services",1
 Climate-smart practices,"Industry, Trade & Services",1
 Climate-smart practices promotion,"Industry, Trade & Services",1
 Climate-smart training,Social Protection,1
 Clinical guideline development,Health,1
 Clinical protocol development,Health,1
 Clinical protocol implementation,Health,2
 Clinical protocol training,Health,1
 Clinical protocols training,Health,1
 Clinical service delivery,Health,1
 Clinical training,Health,1
 Cloud services adoption,Public Administration,1
 Cluster development,"Industry, Trade & Services",1
 Cluster development support,"Water, Sanitation & Waste Management",1
 Coastal protection infrastructure,"Water, Sanitation & Waste Management",1
 Co-financing mobilization,Energy & Extractives,1
 Cogeneration upgrade,Energy & Extractives,1
 Cold chain equipment,Health,2
 Cold chain installation,Health,1
 Cold chain logistics,Health,1
 Cold chain maintenance,Health,1
 Collections improvement,Energy & Extractives,1
 College readiness support,Education,1
 Commercial financing access,Energy & Extractives,1
 Commercial financing mobilization,Energy & Extractives,1
 Commissioning and testing,Energy & Extractives,1
 Commitment control implementation,Public Administration,1
 Committee strengthening,"Agriculture, Fishing & Forestry",1
 Communication campaign,Health,1
 Community asset construction,Transportation,1
 Community capacity building,"Water, Sanitation & Waste Management",1
 Community compensation,Energy & Extractives,1
 Community consultation,Public Administration,1
 Community consultation,Social Protection,1
 Community consultations,"Industry, Trade & Services",1
 Community consultations,"Water, Sanitation & Waste Management",1
 Community development,Public Administration,1
 Community education,Public Administration,1
 Community engagement,Health,1
 Community engagement,"Water, Sanitation & Waste Management",1
 Community finance,"Industry, Trade & Services",1
 Community health committees,Health,1
 Community health education,Health,1
 Community health service delivery,Public Administration,1
 Community health worker training,Public Administration,1
 Community infrastructure,Energy & Extractives,1
 Community institution setup,"Water, Sanitation & Waste Management",1
 Community jetty construction,Transportation,1
 Community livelihood support,Social Protection,1
 Community organization support,Public Administration,1
 Community outreach,Public Administration,1
 Community patrols,Public Administration,1
 Community satisfaction surveys,"Water, Sanitation & Waste Management",1
 Community services delivery,Social Protection,1
 Community services improvement,Social Protection,1
 Community social services expansion,Public Administration,1
 Community system rehabilitation,"Water, Sanitation & Waste Management",1
 Community training,Public Administration,1
 Community WASH training,"Water, Sanitation & Waste Management",1
 Community water points construction,Energy & Extractives,1
 Compensation delivery,Energy & Extractives,1
 Compensation disbursement,Public Administration,1
 Competition compliance programs,Public Administration,1
 Competition policy reform,Public Administration,1
 Complaint response improvement,Public Administration,1
 Compliance cost reduction,Transportation,1
 Compliance enforcement,Public Administration,1
 Compliance inspections,Financial Sector,1
 Compliance monitoring,"Water, Sanitation & Waste Management",1
 Composting facilities,"Water, Sanitation & Waste Management",1
 Concept development grants,"Industry, Trade & Services",1
 Conditionality monitoring,Social Protection,1
 Connection rehabilitation,"Water, Sanitation & Waste Management",1
 Conservation agreements,Public Administration,1
 Conservation management,Public Administration,1
 Consortium building,"Industry, Trade & Services",1
 Consumer metering installation,Energy & Extractives,1
 Contact tracing,Health,1
 Continuous supply implementation,"Water, Sanitation & Waste Management",1
 Contract management,"Industry, Trade & Services",1
 Cooperative development,"Industry, Trade & Services",1
 Cooperative strengthening,"Industry, Trade & Services",1
 Core functions support,Public Administration,1
 Corporate governance reform,Energy & Extractives,1
 Counseling services,Education,1
 Court facility renovation,Public Administration,1
 Coverage expansion,Health,1
 Coverage expansion,Social Protection,1
 COVID testing,Health,1
 COVID-19 assistance,Social Protection,1
 COVID-19 income support,Social Protection,1
 COVID-19 response,Education,1
 COVID-19 testing,Health,1
 Credential recognition,Public Administration,1
 Credit access expansion,"Industry, Trade & Services",1
 Credit guarantees,"Industry, Trade & Services",1
 Credit line disbursement,Financial Sector,1
 Credit line financing,"Industry, Trade & Services",1
 Crop diversification,"Agriculture, Fishing & Forestry",1
 Crop testing,Public Administration,1
 Cross-border interconnector,Energy & Extractives,1
 CSA technical assistance,"Agriculture, Fishing & Forestry",1
 Culvert installation,Transportation,1
 Curriculum development,Education,2
 Curriculum implementation,Education,1
 Curriculum improvement,Education,1
 Curriculum reform,Public Administration,1
 Curriculum reform pilot,Public Administration,1
 Curriculum training,Social Protection,1
 Customer connections,Energy & Extractives,1
 Customer data updating,Social Protection,1
 Customer engagement,"Water, Sanitation & Waste Management",1
 Customer feedback systems,"Water, Sanitation & Waste Management",1
 Customer formalization,Energy & Extractives,1
 Customer service improvement,Public Administration,2
 Customer surveys,"Water, Sanitation & Waste Management",1
 Customs audits,Public Administration,1
 Customs modernization,Public Administration,1
 Customs process reform,Transportation,1
 Cybersecurity audits,Public Administration,1
 Cybersecurity upgrades,Public Administration,1
 Cycleway construction,Transportation,1
 Damage assessment,"Industry, Trade & Services",1
 Data center operations,"Water, Sanitation & Waste Management",1
 Data collection,Public Administration,1
 Data consolidation,Social Protection,1
 Data conversion,Public Administration,1
 Data digitization,Public Administration,1
 Data dissemination,Public Administration,1
 Data harmonization,Public Administration,1
 Data integration,Public Administration,1
 Data integration systems,"Water, Sanitation & Waste Management",1
 Data management improvement,Education,1
 Data platform development,"Water, Sanitation & Waste Management",1
 Data portal development,Public Administration,1
 Data protection governance,Social Protection,1
 Data standardization,"Water, Sanitation & Waste Management",1
 Data system development,Social Protection,1
 Data system upgrade,Public Administration,1
 Data systems deployment,Health,2
 Debt collection improvement,Public Administration,1
 Debt financing,Financial Sector,1
 Debt management,"Water, Sanitation & Waste Management",1
 Debt management strengthening,Public Administration,1
 Debt resolution support,Financial Sector,1
 Decarbonization policy reform,Public Administration,1
 Decentralized renewable financing,Public Administration,1
 Delivery platform development,Public Administration,1
 Demonstration farm setup,Public Administration,1
 Diabetes testing,Health,1
 Diagnostic testing,Social Protection,1
 Digital banking promotion,Public Administration,1
 Digital curriculum rollout,Social Protection,1
 Digital entrepreneurship support,Public Administration,1
 Digital extension services,"Agriculture, Fishing & Forestry",1
 Digital health tools,Health,1
 Digital ID rollout,Public Administration,1
 Digital identity rollout,Health,1
 Digital infrastructure expansion,Public Administration,1
 Digital infrastructure upgrade,Social Protection,1
 Digital literacy training,Information & Communications Technologies,1
 Digital mapping deployment,"Industry, Trade & Services",1
 Digital payment delivery,Social Protection,1
 Digital payment integration,Social Protection,1
 Digital payments promotion,Public Administration,1
 Digital payments rollout,Social Protection,1
 Digital permitting,Financial Sector,1
 Digital platform deployment,Public Administration,1
 Digital platform development,Public Administration,1
 Digital platform rollout,Public Administration,1
 Digital platform training,Social Protection,1
 Digital prescription systems,Health,1
 Digital property registration,Public Administration,1
 Digital protection installation,Energy & Extractives,1
 Digital public infrastructure,Health,1
 Digital referral deployment,Health,1
 Digital road solutions,Transportation,1
 Digital service delivery,Health,1
 Digital service delivery,Public Administration,1
 Digital services development,Information & Communications Technologies,1
 Digital services rollout,Public Administration,1
 Digital skills training,Information & Communications Technologies,1
 Digital systems deployment,Social Protection,1
 Disability assessment reform,"Water, Sanitation & Waste Management",1
 Disability assessment standardization,Social Protection,1
 Disability unit establishment,Transportation,1
 Disaster preparedness planning,Public Administration,1
 Disaster preparedness training,Public Administration,1
 Disaster risk capacity building,"Water, Sanitation & Waste Management",1
 Disaster risk database,Public Administration,1
 Disaster risk reduction,Public Administration,1
 Disaster risk training,Transportation,1
 Disease surveillance,Health,2
 Distance learning support,Public Administration,1
 Distributed renewable installation,Energy & Extractives,1
 Distribution line construction,Energy & Extractives,1
 Distribution line rehabilitation,Energy & Extractives,1
 Distribution line retrofitting,Energy & Extractives,1
 Distribution network upgrade,Energy & Extractives,1
 Distribution substation upgrades,Energy & Extractives,1
 District capacity building,Education,1
 District heating modernization,Energy & Extractives,1
 District heating rehabilitation,"Water, Sanitation & Waste Management",1
 District heating upgrade,Energy & Extractives,1
 District heating upgrades,Energy & Extractives,1
 Document digitization,Public Administration,1
 Domestic violence support,Public Administration,1
 Door-to-door collection,Public Administration,1
 Drainage cleaning,"Water, Sanitation & Waste Management",1
 Drainage construction,"Water, Sanitation & Waste Management",1
 Drainage improvement,"Agriculture, Fishing & Forestry",2
 Drainage infrastructure,"Industry, Trade & Services",1
 Drainage infrastructure construction,"Water, Sanitation & Waste Management",1
 Drainage services improvement,"Agriculture, Fishing & Forestry",1
 Drainage tunnel construction,"Water, Sanitation & Waste Management",1
 Dump site closure,"Water, Sanitation & Waste Management",1
 Dumpsite closure,Public Administration,1
 Early childhood facilities,Public Administration,1
 Early childhood quality assessment,Education,1
 Early childhood services,Social Protection,1
 Early childhood support,Education,1
 Early warning alerts,Public Administration,1
 Early warning systems,Public Administration,1
 Early warning training,"Water, Sanitation & Waste Management",1
 Earthquake insurance coverage,"Water, Sanitation & Waste Management",1
 Economic inclusion services,Social Protection,1
 Economic infrastructure development,"Agriculture, Fishing & Forestry",1
 Education conditionality monitoring,Public Administration,1
 Education institute construction,Education,1
 Education management strengthening,Education,1
 Education support,Social Protection,1
 Educational content development,Social Protection,1
 Efficiency improvements,"Water, Sanitation & Waste Management",1
 Efficient equipment procurement,Energy & Extractives,1
 Efficient fan distribution,Energy & Extractives,1
 Efficient fertilizer use,Public Administration,1
 Effluent management,"Agriculture, Fishing & Forestry",1
 Effluent monitoring,Public Administration,1
 Effluent quality monitoring,"Water, Sanitation & Waste Management",1
 E-filing implementation,Public Administration,1
 E-governance implementation,"Water, Sanitation & Waste Management",1
 E-government platform development,Public Administration,1
 EHR interoperability,Health,1
 E-invoicing rollout,Public Administration,1
 E-justice services rollout,Public Administration,1
 e-KYC implementation,Social Protection,1
 Elderly vaccination campaign,Health,1
 Electricity access expansion,Energy & Extractives,2
 Electricity connection rollout,"Water, Sanitation & Waste Management",1
 Electricity connections,Public Administration,1
 Electricity household connections,Energy & Extractives,1
 Electricity subsidy,Energy & Extractives,1
 Electricity subsidy program,Public Administration,1
 Electronic fiscal reporting,Public Administration,1
 Electronic medical records deployment,Public Administration,1
 Electronic payments rollout,Public Administration,1
 Electronic prescribing,Public Administration,1
 Electronic records implementation,Health,1
 Electronic referrals,Public Administration,1
 Embankment reinforcement,"Water, Sanitation & Waste Management",1
 Emergency assistance,Social Protection,1
 Emergency assistance delivery,Social Protection,1
 Emergency capacity building,"Water, Sanitation & Waste Management",1
 Emergency care management,Public Administration,1
 Emergency cash transfers,Public Administration,1
 Emergency center setup,"Water, Sanitation & Waste Management",1
 Emergency center upgrades,Public Administration,1
 Emergency facilities construction,Public Administration,1
 Emergency food assistance,Public Administration,1
 Emergency grants provision,Social Protection,1
 Emergency income support,Transportation,1
 Emergency management strengthening,Transportation,1
 Emergency preparedness,Health,1
 Emergency preparedness planning,"Water, Sanitation & Waste Management",1
 Emergency repairs,"Water, Sanitation & Waste Management",1
 Emergency response,Education,1
 Emergency response,Public Administration,1
 Emergency response capacity,Health,1
 Emergency response capacity,"Water, Sanitation & Waste Management",1
 Emergency response readiness,Energy & Extractives,1
 Emergency response readiness,"Water, Sanitation & Waste Management",1
 Emergency response services,Public Administration,1
 Emergency response services,Transportation,1
 Emergency response support,Information & Communications Technologies,1
 Emergency response training,Education,1
 Emergency shelter construction,"Water, Sanitation & Waste Management",1
 Emergency workforce mobilization,Health,1
 EMIS implementation,Education,1
 EMIS rollout,Education,1
 EMIS training,Education,1
 Emissions monitoring,"Agriculture, Fishing & Forestry",1
 Emissions monitoring,Transportation,1
 Emissions monitoring deployment,Public Administration,1
 Emissions monitoring systems,"Industry, Trade & Services",1
 Emissions permitting,"Water, Sanitation & Waste Management",1
 Emissions reduction measures,"Water, Sanitation & Waste Management",1
 Emissions standards enforcement,Transportation,1
 Emissions tracking,Public Administration,1
 Employee training,Energy & Extractives,1
 Employer incentives,Education,1
 Employer outreach,Social Protection,2
 Employer partnerships,Education,1
 Employment activation,Social Protection,1
 Employment retention support,Public Administration,1
 Employment services,Public Administration,1
 Employment services delivery,Social Protection,1
 Employment services enrollment,Public Administration,1
 Employment support,Social Protection,1
 Employment training,Social Protection,1
 Energy audits,Energy & Extractives,1
 Energy audits,Public Administration,1
 Energy bill rebates,"Water, Sanitation & Waste Management",1
 Energy efficiency financing,Public Administration,1
 Energy efficiency improvements,"Water, Sanitation & Waste Management",1
 Energy efficiency measures,Energy & Extractives,1
 Energy efficiency measures,"Water, Sanitation & Waste Management",1
 Energy efficiency programs,Public Administration,1
 Energy efficiency promotion,"Water, Sanitation & Waste Management",1
 Energy efficiency retrofits,Public Administration,1
 Energy efficiency strategy,Energy & Extractives,1
 Energy efficiency upgrades,Energy & Extractives,2
 Energy equipment procurement,Health,1
 Energy performance certification,Energy & Extractives,1
 Energy subsidy reform,Public Administration,1
 Energy system upgrades,"Water, Sanitation & Waste Management",1
 Energy-efficient certification,Information & Communications Technologies,1
 Energy-efficient equipment procurement,Public Administration,1
 Energy-efficient infrastructure,Information & Communications Technologies,1
 Energy-efficient retrofits,"Industry, Trade & Services",1
 Enrollment support,Education,1
 Enterprise development support,"Industry, Trade & Services",1
 Enterprise financing,"Agriculture, Fishing & Forestry",1
 Enterprise support,Public Administration,1
 Enterprise support,Social Protection,1
 Entrance exam reform,Education,1
 Entrepreneurship center establishment,Public Administration,1
 Entrepreneurship support,Social Protection,2
 Entrepreneurship training,"Industry, Trade & Services",1
 Entrepreneurship training,Social Protection,1
 Environmental compliance,Health,1
 Environmental data reporting,Public Administration,1
 Environmental licensing automation,Public Administration,1
 Environmental management,Energy & Extractives,1
 Environmental management,Transportation,1
 Environmental measures,"Industry, Trade & Services",1
 Environmental monitoring,Public Administration,1
 Environmental monitoring installation,Public Administration,1
 Environmental regularization,"Agriculture, Fishing & Forestry",1
 Environmental regulation strengthening,"Water, Sanitation & Waste Management",1
 Environmental regulatory reform,Public Administration,1
 Environmental remediation,"Water, Sanitation & Waste Management",1
 Environmental safeguards implementation,"Industry, Trade & Services",1
 E-payment rollout,Public Administration,1
 e-Prescription implementation,Health,1
 E-prescription rollout,Health,1
 E-procurement deployment,Public Administration,1
 E-procurement implementation,Public Administration,1
 Equipment installation,Transportation,1
 Equipment procurement,Health,2
 Equipment replacement,Energy & Extractives,1
 Erosion control measures,"Water, Sanitation & Waste Management",1
 E-service deployment,Public Administration,1
 E-services deployment,Public Administration,1
 ESG reporting implementation,Public Administration,1
 Essential health services,Health,1
 ETS pilot implementation,Public Administration,1
 EV charging infrastructure,Transportation,1
 EV charging installation,Energy & Extractives,1
 EV charging rollout,"Water, Sanitation & Waste Management",1
 Evacuation route construction,Public Administration,1
 Evaluation system strengthening,Education,1
 E-waste management,"Water, Sanitation & Waste Management",1
 Exam access expansion,Health,1
 Expenditure management reform,Public Administration,1
 Expenditure system implementation,Public Administration,1
 Export financing,Financial Sector,1
 Export process digitization,"Industry, Trade & Services",1
 Export promotion,Financial Sector,2
 Export readiness training,Financial Sector,1
 Extended learning time,Education,1
 Extension services,Public Administration,1
 External finance mobilization,"Industry, Trade & Services",1
 Facility accessibility upgrades,Public Administration,1
 Facility accreditation,Health,1
 Facility operationalization,Health,1
 Facility rehabilitation,Social Protection,1
 Facility renovation,Health,1
 Facility upgrades,Health,1
 Facility upgrading,Public Administration,1
 Family allowance payments,Social Protection,1
 Family planning services,Health,1
 Family support services,Social Protection,1
 Farmer asset provision,"Agriculture, Fishing & Forestry",1
 Farmer financial support,"Water, Sanitation & Waste Management",1
 Farmer group formation,Public Administration,1
 Farmer service delivery,"Agriculture, Fishing & Forestry",1
 Farmer services,"Industry, Trade & Services",1
 Farmer training,"Industry, Trade & Services",1
 Farmer training programs,"Industry, Trade & Services",1
 Feasibility studies,"Water, Sanitation & Waste Management",1
 Fecal sludge management,"Water, Sanitation & Waste Management",1
 Feedback management,Education,1
 Feedback mechanisms,Education,1
 Feedback system setup,Public Administration,1
 Female education support,Education,1
 Female MSME support,Financial Sector,1
 Ferry terminal upgrades,Transportation,1
 Finance mobilization,"Agriculture, Fishing & Forestry",1
 Financial framework reform,Financial Sector,1
 Financial incentives,"Water, Sanitation & Waste Management",1
 Financial inclusion outreach,Social Protection,1
 Financial inclusion promotion,Public Administration,2
 Financial inclusion support,"Industry, Trade & Services",1
 Financial intermediary support,Financial Sector,1
 Financial intermediation,"Water, Sanitation & Waste Management",1
 Financial literacy training,"Industry, Trade & Services",1
 Financial management,Health,1
 Financial management improvement,Public Administration,1
 Financial management improvement,"Water, Sanitation & Waste Management",1
 Financial management reform,Energy & Extractives,1
 Financial management strengthening,"Water, Sanitation & Waste Management",1
 Financial management system,Public Administration,1
 Financial management system rollout,Public Administration,1
 Financial management systems,"Water, Sanitation & Waste Management",1
 Financial protection measures,Health,1
 Financial reporting improvement,Public Administration,1
 Financial reporting support,Public Administration,1
 Financial sector supervision,Public Administration,1
 Financial support,"Agriculture, Fishing & Forestry",1
 Financial system rollout,Public Administration,1
 Financial system upgrade,Public Administration,1
 Financing mechanism development,Energy & Extractives,1
 Financing mechanism setup,Energy & Extractives,1
 Financing model development,Health,1
 Fire management,Public Administration,1
 Fire management planning,"Agriculture, Fishing & Forestry",1
 Fire station construction,"Water, Sanitation & Waste Management",1
 Fire station upgrades,Transportation,1
 Firm accreditation,Public Administration,1
 Firm diagnostics,"Industry, Trade & Services",1
 Fiscal management reform,Public Administration,1
 Fiscal planning,Public Administration,1
 Fiscal policy reform,Public Administration,1
 Fiscal reporting improvement,Public Administration,1
 Fiscal risk management,Public Administration,1
 Fiscal transfer reform,Public Administration,1
 Fiscal transparency,Public Administration,1
 Fish stock assessment,Public Administration,1
 Fisheries management,"Agriculture, Fishing & Forestry",1
 Fisheries management planning,"Agriculture, Fishing & Forestry",1
 Flood control infrastructure,"Water, Sanitation & Waste Management",1
 Flood embankment rehabilitation,"Agriculture, Fishing & Forestry",1
 Flood forecasting systems,"Water, Sanitation & Waste Management",1
 Flood management capacity building,"Water, Sanitation & Waste Management",1
 Flood mitigation works,Transportation,1
 Flood protection,Public Administration,1
 Flood protection infrastructure,"Water, Sanitation & Waste Management",1
 Flood protection works,Public Administration,1
 Flood risk mapping,Public Administration,1
 Flood shelter construction,"Water, Sanitation & Waste Management",1
 Food assistance delivery,Social Protection,1
